,company_name_id,year_founded,zip_code,full_time_employees,company_category,description,description_short,job_name,job_id
21,fujitsu,1935.0,94089.0,10001.0,Data/Technology,"The company is a leading Japanese information and communication technology (ICT) company offering a full range of technology products, solutions and services.  We use our experience and the power of ICT to shape the future of society with our customers.",The company works to shape the future of society and business by using the power of ICT to contribute to their clients' success.,Python Software Engineer,21
22,fujitsu,1935.0,94089.0,10001.0,Data/Technology,"The company is a leading Japanese information and communication technology (ICT) company offering a full range of technology products, solutions and services.  We use our experience and the power of ICT to shape the future of society with our customers.",The company works to shape the future of society and business by using the power of ICT to contribute to their clients' success.,Java Developer,22
23,fujitsu,1935.0,94089.0,10001.0,Data/Technology,"The company is a leading Japanese information and communication technology (ICT) company offering a full range of technology products, solutions and services.  We use our experience and the power of ICT to shape the future of society with our customers.",The company works to shape the future of society and business by using the power of ICT to contribute to their clients' success.,Cloud Engineer,23
24, ,1935.0,94089.0,10001.0,Data/Technology,"The company is a leading Japanese information and communication technology (ICT) company offering a full range of technology products, solutions and services.  We use our experience and the power of ICT to shape the future of society with our customers.",The company works to shape the future of society and business by using the power of ICT to contribute to their clients' success.,Data Scientist,24
25,garmin,1989.0,66062.0,7500.5,Geospatial/Mapping,"As a global provider of navigation, The company is committed to making geospatial information products for automotive, aviation, marine, outdoor and sports companies. Our “vertical integration” business model keeps these functions in-house, giving us more control over timelines, quality and service.","The company's products provide geospatial information for automotive, aviation, marine, outdoor, and sports uses.",Data Scientist,25
26,garmin,1989.0,66062.0,7500.5,Geospatial/Mapping,"As a global provider of navigation, The company is committed to making geospatial information products for automotive, aviation, marine, outdoor and sports companies. Our “vertical integration” business model keeps these functions in-house, giving us more control over timelines, quality and service.","The company's products provide geospatial information for automotive, aviation, marine, outdoor, and sports uses.",Python Software Engineer,26
27,garmin,1989.0,66062.0,7500.5,Geospatial/Mapping,"As a global provider of navigation, The company is committed to making geospatial information products for automotive, aviation, marine, outdoor and sports companies. Our “vertical integration” business model keeps these functions in-house, giving us more control over timelines, quality and service.","The company's products provide geospatial information for automotive, aviation, marine, outdoor, and sports uses.",Java Developer,27
28,garmin,1989.0,66062.0,7500.5,Geospatial/Mapping,"As a global provider of navigation, The company is committed to making geospatial information products for automotive, aviation, marine, outdoor and sports companies. Our “vertical integration” business model keeps these functions in-house, giving us more control over timelines, quality and service.","The company's products provide geospatial information for automotive, aviation, marine, outdoor, and sports uses.",Cloud Engineer,28
29, ,1989.0,66062.0,7500.5,Geospatial/Mapping,"As a global provider of navigation, The company is committed to making geospatial information products for automotive, aviation, marine, outdoor and sports companies. Our “vertical integration” business model keeps these functions in-house, giving us more control over timelines, quality and service.","The company's products provide geospatial information for automotive, aviation, marine, outdoor, and sports uses.",Data Scientist,29
30,github,2008.0,94107.0,350.5,Data/Technology,"The company is a social network for programmers. The company builds tools that make collaborating and writing software easier, and enable powerful collaboration, code review, and code management for open source and private projects. ",The company is at code host with over 9.8 million repositories and tools are open to the community for public projects and secure for private projects.,Cloud Engineer,30
31,github,2008.0,94107.0,350.5,Data/Technology,"The company is a social network for programmers. The company builds tools that make collaborating and writing software easier, and enable powerful collaboration, code review, and code management for open source and private projects. ",The company is at code host with over 9.8 million repositories and tools are open to the community for public projects and secure for private projects.,Python Software Engineer,31
32,github,2008.0,94107.0,350.5,Data/Technology,"The company is a social network for programmers. The company builds tools that make collaborating and writing software easier, and enable powerful collaboration, code review, and code management for open source and private projects. ",The company is at code host with over 9.8 million repositories and tools are open to the community for public projects and secure for private projects.,Java Developer,32
33, ,2008.0,94107.0,350.5,Data/Technology,"The company is a social network for programmers. The company builds tools that make collaborating and writing software easier, and enable powerful collaboration, code review, and code management for open source and private projects. ",The company is at code host with over 9.8 million repositories and tools are open to the community for public projects and secure for private projects.,Cloud Engineer,33
34,github,2008.0,94107.0,350.5,Data/Technology,"The company is a social network for programmers. The company builds tools that make collaborating and writing software easier, and enable powerful collaboration, code review, and code management for open source and private projects. ",The company is at code host with over 9.8 million repositories and tools are open to the community for public projects and secure for private projects.,Data Scientist,34
35,ibm,1912.0,0.0,10001.0,Data/Technology,"For five years, The employees have been working with companies, cities and communities around the world to build a Smarter Planet. We've seen enormous advances, as leaders are using an explosion of data to transform their enterprises and institutions through analytics, mobile technology, social business and the cloud. We've also seen how this new era is starting to create winners. They’re changing how their decisions are made. They're redesigning how their teams work, reassessing how to serve their customers, and changing the very nature of business. It's the ability to harness data that gives these leaders their competitive advantage in the era of ""smart.""

<p>Today, conventions once universally held are giving way to new perspectives, new ways of working, and new solutions across industries. Roles are changing. And more than ever, leaders need a partner to help them adapt. </p>","Instrumented. Intelligent. Interconnected.

The employees works with companies, cities and communities around the world to build a smarter planet.",Data Scientist,35
36,ibm,1912.0,0.0,10001.0,Data/Technology,"For five years, The employees have been working with companies, cities and communities around the world to build a Smarter Planet. We've seen enormous advances, as leaders are using an explosion of data to transform their enterprises and institutions through analytics, mobile technology, social business and the cloud. We've also seen how this new era is starting to create winners. They’re changing how their decisions are made. They're redesigning how their teams work, reassessing how to serve their customers, and changing the very nature of business. It's the ability to harness data that gives these leaders their competitive advantage in the era of ""smart.""

<p>Today, conventions once universally held are giving way to new perspectives, new ways of working, and new solutions across industries. Roles are changing. And more than ever, leaders need a partner to help them adapt. </p>","Instrumented. Intelligent. Interconnected.

The employees works with companies, cities and communities around the world to build a smarter planet.",Python Software Engineer,36
