company_name_id,company_name,company_category
environmental-data-resources,Environmental Data Resources,Environment & Weather
epsilon,Epsilon,Data/Technology
equal-pay-for-women,Equal Pay for Women,Business & Legal Services
equifax,Equifax,Finance & Investment
equilar,Equilar,Data/Technology
ernst--young-llp,Ernst & Young LLP,Finance & Investment
escholar-llc,eScholar LLC.,Education
esri,Esri,Geospatial/Mapping
estately,Estately,Housing/Real Estate
everyday-health,Everyday Health,Lifestyle & Consumer
evidera,Evidera,Healthcare
experian,Experian,Finance & Investment
expert-health-data-programming-inc,"Expert Health Data Programming, Inc.",Healthcare
exversion,Exversion,Data/Technology
ezxbrl,Ez-XBRL,Finance & Investment
factset,Factset,Finance & Investment
factual,Factual,Data/Technology
farmers,Farmers,Insurance
farmlogs,FarmLogs,Food & Agriculture
fastcase,Fastcase,Business & Legal Services
fidelity-investments,Fidelity Investments,Finance & Investment
findthebestcom,FindTheBest.com,Lifestyle & Consumer
first-fuel-software,First Fuel Software,Energy
firstpoint-inc,"FirstPoint, Inc.",Business & Legal Services
fitch,Fitch,Finance & Investment
flightaware,FlightAware,Transportation
flightstats,FlightStats,Transportation
flightview,FlightView,Transportation
foodtech-connect,Food+Tech Connect,Food & Agriculture
forrester-research,Forrester Research,Research & Consulting
foursquare,Foursquare,Lifestyle & Consumer
fujitsu,Fujitsu,Data/Technology
funding-circle,Funding Circle,Finance & Investment
futureadvisor,FutureAdvisor,Finance & Investment
fuzion-apps-inc,"Fuzion Apps, Inc.",Lifestyle & Consumer
gallup,Gallup,Research & Consulting
galorath-incorporated,Galorath Incorporated,Business & Legal Services
garmin,Garmin,Geospatial/Mapping
genability,Genability,Energy
genospace,GenoSpace,Healthcare
geofeedia,Geofeedia,Geospatial/Mapping
geolytics,Geolytics,Data/Technology
geoscape,Geoscape,Lifestyle & Consumer
getraised,GetRaised,Finance & Investment
github,GitHub,Data/Technology
glassy-media,Glassy Media,Governance
golden-helix,Golden Helix,Scientific Research
goodguide,GoodGuide,Lifestyle & Consumer
google-maps,Google Maps,Geospatial/Mapping
google-public-data-explorer,Google Public Data Explorer,Data/Technology
government-transaction-services,Government Transaction Services,Finance & Investment
govini,Govini,Governance
govtribe,GovTribe,Governance
govzilla-inc,"Govzilla, Inc.",Governance
gradiant-research-llc,gRadiant Research LLC,Research & Consulting
graebel-van-lines,Graebel Van Lines,Transportation
graematter-inc,"Graematter, Inc.",Data/Technology
granicus,Granicus,Governance
greatschools,GreatSchools,Education
guidestar,GuideStar,Governance
h3-biomedicine,H3 Biomedicine,Scientific Research
harris-corporation,Harris Corporation,Environment & Weather
hdscores-inc,"HDScores, Inc",Lifestyle & Consumer
headlight,Headlight,Data/Technology
healthgrades,Healthgrades,Healthcare
healthline,Healthline,Healthcare
healthmap,HealthMap,Healthcare
healthpocket-inc,"HealthPocket, Inc.",Healthcare
hellowallet,HelloWallet,Finance & Investment
here,HERE,Geospatial/Mapping
honest-buildings,Honest Buildings,Housing/Real Estate
hopstop,HopStop,Transportation
housefax,Housefax,Housing/Real Estate
hows-my-offer,How's My Offer?,Education
ibm,IBM,Data/Technology
ideas42,ideas42,Research & Consulting
ifactor-consulting,iFactor Consulting,Research & Consulting
ifi-claims-patent-services,IFI CLAIMS Patent Services,Data/Technology
imedicare,iMedicare,Healthcare
impact-forecasting-aon,Impact Forecasting (Aon),Insurance
impaq-international,Impaq International,Research & Consulting
importio,Import.io,Data/Technology
ims-health,IMS Health,Healthcare
incadence,InCadence,Data/Technology
indoors,indoo.rs,Geospatial/Mapping
infocommerce-group,InfoCommerce Group,Research & Consulting
informatica,Informatica,Data/Technology
innocentive,InnoCentive,Scientific Research
innography,Innography,Business & Legal Services
innovest-systems,Innovest Systems,Finance & Investment
inovalon,Inovalon,Healthcare
inrix-traffic,Inrix Traffic,Transportation
intelius,Intelius,Business & Legal Services
intermap-technologies,Intermap Technologies,Geospatial/Mapping
investormill,Investormill,Finance & Investment
iodine,Iodine,Healthcare
iphix,IPHIX,Data/Technology
irecycle,iRecycle,Environment & Weather
itriage,iTriage,Healthcare
ives-group-inc,IVES Group Inc,Data/Technology
iw-financial,IW Financial,Finance & Investment
jj-keller,JJ Keller,Business & Legal Services
jp-morgan-chase,J.P. Morgan Chase,Finance & Investment
junar-inc,"Junar, Inc.",Data/Technology
junyo,Junyo,Education
jurispect,Jurispect,Business & Legal Services
kaiser-permanante,Kaiser Permanante,Healthcare
karmadata,karmadata,Healthcare
keychain-logistics-corp,Keychain Logistics Corp.,Transportation
kidadmit-inc,"KidAdmit, Inc.",Education
kimono-labs,Kimono Labs,Data/Technology
kld-research,KLD Research,Finance & Investment
knoema,Knoema,Data/Technology
knowledge-agency,Knowledge Agency,Research & Consulting
kpmg,KPMG,Business & Legal Services
kroll-bond-ratings-agency,Kroll Bond Ratings Agency,Finance & Investment
kyruus,Kyruus,Healthcare
lawdragon,Lawdragon,Business & Legal Services
legal-science-partners,Legal Science Partners,Business & Legal Services
legcyte,(Leg)Cyte,Governance
legination-inc,"LegiNation, Inc.",Governance
legistorm,LegiStorm,Governance
lenddo,Lenddo,Finance & Investment
lending-club,Lending Club,Finance & Investment
level-one-technologies,Level One Technologies,Data/Technology
lexisnexis,LexisNexis,Business & Legal Services
liberty-mutual-insurance-cos,Liberty Mutual Insurance Cos.,Insurance
lilly-open-innovation-drug-discovery,Lilly Open Innovation Drug Discovery,Scientific Research
liquid-robotics,Liquid Robotics,Geospatial/Mapping
locavore,Locavore,Food & Agriculture
logixdata-llc,"LOGIXDATA, LLC",Finance & Investment
loopnet,LoopNet,Housing/Real Estate
loqate-inc,"Loqate, Inc.",Geospatial/Mapping
loseitcom,LoseIt.com,Lifestyle & Consumer
loveland-technologies,LOVELAND Technologies,Data/Technology
lucid,Lucid,Energy
lumesis-inc,"Lumesis, Inc.",Data/Technology
mango-transit,Mango Transit,Geospatial/Mapping
mapbox,Mapbox,Geospatial/Mapping
maponics,Maponics,Geospatial/Mapping
mapquest,MapQuest,Geospatial/Mapping
marinexplore-inc,"Marinexplore, Inc.",Geospatial/Mapping
marketsense,MarketSense,Business & Legal Services
marlin--associates,Marlin & Associates,Finance & Investment
marlin-alter-and-associates,Marlin Alter and Associates,Business & Legal Services
mcgraw-hill-financial,McGraw Hill Financial,Finance & Investment
mckinsey,McKinsey,Research & Consulting
medwatcher,MedWatcher,Healthcare
mercaris,Mercaris,Food & Agriculture
merrill-corp,Merrill Corp.,Data/Technology
merrill-lynch,Merrill Lynch,Finance & Investment
metlife,MetLife,Insurance
mhealthcoach,mHealthCoach,Healthcare
microbilt-corporation,MicroBilt Corporation,Business & Legal Services
